Module ID	Module Name	Module Type	Definition
M00651	"Vancomycin resistance, D-Ala-D-Lac type"	Signature	"(K18345 K18344 K07260 K18346),(K18351 K18352 K18354 K18353) (K18347 K15739 K08641)"
M00652	"Vancomycin resistance, D-Ala-D-Ser type"	Signature	K18350 K18349 K18348 K18856 K18866
M00658	VanS-VanR (actinomycete type vancomycin resistance) two-component regulatory system	FuncSet	K18351 K18352
M00656	VanS-VanR (VanB type vancomycin resistance) two-component regulatory system	FuncSet	K18345 K18344
M00657	VanS-VanR (VanE type vancomycin resistance) two-component regulatory system	FuncSet	K18350 K18349
M00459	VicK-VicR (cell wall metabolism) two-component regulatory system	FuncSet	K07652 K07668
M00241	Vitamin B12 transport system	Complex	K06858+K06073+K06074
M00480	VraS-VraR (cell-wall peptidoglycan synthesis) two-component regulatory system	FuncSet	K07681 K07694
M00677	Wnt signaling	Pathway	"(K00182,K00312,K00408,K00444,K00445,K00572,K00714,K01064,K01357,K01384,K01558,K03209) (K02432,K02235,K02329,K02354,K02375,K02376,K02842,K04690) K02353 K03083 K02105 (K02620,K04490,K04491,K04492)"
M00509	WspE-WspRF (chemosensory) two-component regulatory system	FuncSet	K13490 K11444 K13491
M00660	"Xanthomonas spp. pathogenicity signature, T3SS and effectors"	Signature	K03222+K03226+K03227+K03228+K03229+K03230+K03224+K03225+K03223+K18374+K18376 K18373 K18375 K18377 K18378 K18379 K18380 K18381
M00537	"Xylene degradation, xylene => methylbenzoate"	Pathway	K15757+K15758 K00055 K00141
M00619	Xylobiose transport system	Complex	K17326+K17327+K17328
M00484	YdfH-YdfI two-component regulatory system	FuncSet	K11623 K11624
M00519	YesM-YesN two-component regulatory system	FuncSet	K07718 K07720
M00470	YxdK-YxdJ (antimicrobial peptide response) two-component regulatory system	FuncSet	K11633 K11634
M00242	Zinc transport system	Complex	K09815+K09816+K09817
